service_year_month,claim_count,adjudicated_claims,gross_charges,allowed_amount,contractual_adjustments,total_payments,insurance_payments,patient_payments,ending_ar,denied_claims,clean_claims,fpr_claims,preventable_denials,denied_charge_amount,avg_charge_lag_days,avg_days_to_payment,denial_rate,clean_claim_rate,first_pass_resolution_rate,gross_collection_rate,net_collection_rate,total_ar_at_month_end,ar_over_90,open_claims_at_month_end,avg_daily_charges,days_in_ar,pct_ar_over_90
2024-01,686,686,4047624.70,3342241.09,705383.61,2798918.86,2727915.92,71002.94,245880.58,82,603,555,27,559540.85,5.84402332361516,38.880466472303205,0.1195,0.879,0.809,0.6915,0.8374,3013752.44,0.00,521,44479.392308,67.8,0.0000
2024-02,753,753,4593223.98,3716450.58,876773.40,3192134.73,3103361.99,88772.74,101849.56,76,685,634,27,516053.22,5.46215139442231,40.63877822045153,0.1009,0.9097,0.842,0.6950,0.8589,5650771.62,0.00,1035,94954.381099,59.5,0.0000
2024-03,797,797,4534352.44,3678855.92,855496.52,3277288.57,3182670.19,94618.38,151850.95,81,694,634,40,371680.75,5.727728983688833,41.72020075282309,0.1016,0.8708,0.7955,0.7228,0.8908,6761189.01,0.00,1407,144782.429890,46.7,0.0000
2024-04,792,792,4518131.47,3623100.58,895030.89,2893095.48,2793964.35,99131.13,173477.12,96,691,645,47,799006.44,5.627525252525253,41.82954545454545,0.1212,0.8725,0.8144,0.6403,0.7985,7107324.08,430624.06,1697,149952.833956,47.4,0.0606
2024-05,784,784,4392824.64,3556848.60,835976.04,3034812.88,2960334.62,74478.26,244251.02,86,695,627,38,525479.98,5.468112244897959,40.53316326530612,0.1097,0.8865,0.7997,0.6909,0.8532,7826371.32,1008884.83,1923,147750.643407,53.0,0.1289
2024-06,711,711,4252300.11,3461731.38,790568.73,2913864.44,2821257.67,92606.77,217350.93,87,617,567,39,520849.89,5.793248945147679,40.45569620253165,0.1224,0.8678,0.7975,0.6852,0.8417,8014782.77,1164774.60,2035,144651.167253,55.4,0.1453
2024-07,784,784,4173246.86,3363526.97,809719.89,2981239.93,2893710.91,87529.02,184926.39,76,698,636,35,358462.55,5.700255102040816,40.07270408163265,0.0969,0.8903,0.8112,0.7144,0.8863,8053971.49,1752633.28,2130,140861.226484,57.2,0.2176
2024-08,805,805,4893605.36,3932832.70,960772.66,3397690.92,3247072.49,150618.43,236126.05,106,690,633,50,560501.69,5.673291925465839,42.469565217391306,0.1317,0.8571,0.7863,0.6943,0.8639,8594330.65,1877879.19,2289,146364.311319,58.7,0.2185
2024-09,769,769,4269436.98,3462762.07,806674.91,2910868.85,2804043.58,106825.27,160913.12,83,691,638,33,578934.96,5.500650195058517,40.91027308192458,0.1079,0.8986,0.8296,0.6818,0.8406,9016212.80,1934812.45,2426,146552.628571,61.5,0.2146
2024-10,718,718,4227225.32,3475422.42,751802.90,2953426.14,2844106.07,109320.07,96863.98,76,637,592,38,538069.97,5.754874651810585,39.920612813370475,0.1058,0.8872,0.8245,0.6987,0.8498,8331841.88,1913874.77,2404,147145.798462,56.6,0.2297
2024-11,758,758,3932642.10,3228849.86,703792.24,2744628.96,2646473.97,98154.99,159116.38,95,648,604,45,483141.48,5.716358839050132,40.45118733509235,0.1253,0.8549,0.7968,0.6979,0.8500,8339434.12,2183377.49,2468,136585.762637,61.1,0.2618
2024-12,779,779,5253329.52,4235228.02,1018101.50,3734986.23,3611112.33,123873.90,242273.80,87,681,620,39,511899.59,5.831835686777921,40.50192554557125,0.1117,0.8742,0.7959,0.7110,0.8819,9565632.44,2610029.92,2555,147397.768571,64.9,0.2729
