payer_sk,payer_name,payer_type,payer_group,claim_count,gross_charges,total_payments,contractual_adjustments,open_ar,underpayment_exposure,denied_claims,avg_days_to_payment,median_days_to_payment,denial_rate,net_collection_rate,pct_of_total_charges
2845759075216472469,Aetna,Commercial,Commercial,2033,12631534.51,9089935.45,1768414.83,1092006.47,1773184.23,219,29.750386797318207,29,0.1077,0.8368,0.1186
4394402833057710358,Workers Compensation,Workers Comp,Workers Comp,2182,12446777.55,8605703.24,1244676.59,1885510.14,2596397.72,226,61.995486459378135,61,0.1036,0.7682,0.1169
4631969731102163179,UnitedHealthcare,Commercial,Commercial,2122,12427777.73,8355322.70,1864167.44,1370530.51,2208287.59,235,31.49108910891089,30,0.1107,0.7910,0.1167
76965900685486789,Blue Cross Blue Shield,Commercial,Commercial,2175,12377400.64,8729953.20,1485288.10,1411343.92,2162159.34,246,28.69707153144503,28,0.1131,0.8015,0.1163
3547731112141686832,Cigna,Commercial,Commercial,2086,11951393.07,7986312.64,1912222.91,1304236.81,2052857.52,235,33.46730382293762,33,0.1127,0.7955,0.1123
8731655798172179440,Humana Medicare Advantage,Medicare Advantage,Government,1850,11405174.74,7200757.75,2395086.60,1237062.41,1809330.39,200,38.625284738041,38,0.1081,0.7992,0.1071
4164595744313267533,Tricare,Government,Government,1957,11132102.43,7485334.55,2226420.50,1095756.59,1420347.38,176,41.600762527233115,41,0.0899,0.8405,0.1046
4081369623925476538,Medicare Part B,Government,Government,1993,10585344.51,7239655.79,1905362.34,1082550.71,1440326.38,203,34.20084566596194,33,0.1019,0.8341,0.0994
8483408930115836666,Medicaid State Plan,Government,Government,1476,8641229.84,4264553.19,3370079.66,946689.22,1006596.99,178,52.630087209302324,53,0.1206,0.8090,0.0812
4640057182081603737,Self Pay,Self Pay,Self Pay,507,2867694.90,498529.01,2265479.05,365839.84,103686.84,14,89.97477064220183,89,0.0276,0.8278,0.0269
