service_category,cpt_code,line_count,total_units,gross_charges,avg_unit_charge,avg_variance_from_standard
Surgery,27447,1894,2147,43259451.68,20154.990000,1754.990000
Surgery,47562,1982,2272,17133555.60,7541.182699,691.182699
Obstetrics,59400,1990,2260,13868817.52,6138.317563,538.317563
Surgery,29881,1962,2222,10570831.50,4759.670087,439.670087
Radiology,70551,1901,2145,4668571.24,2174.750710,194.750710
Radiology,74177,1929,2180,3472952.83,1595.062359,145.062359
Surgery,45378,1909,2169,2953977.52,1361.930084,121.930084
Emergency,99285,1915,2177,2823881.02,1297.777175,117.777175
Cardiology,93306,1901,2129,2085862.08,980.046039,90.046039
Emergency,99284,1878,2109,1772874.47,840.551374,80.551374
Emergency,99283,1926,2219,1175161.77,528.935981,48.935981
E&M,99215,2005,2247,630126.38,280.121082,25.121082
Radiology,71046,1917,2160,558035.59,258.325206,23.325206
E&M,99214,1978,2246,456792.08,203.425617,18.425617
E&M,99213,1935,2203,302709.73,137.292625,12.292625
Cardiology,93000,1861,2116,221546.90,104.803821,9.803821
Therapy,97110,1943,2234,192089.90,85.956166,7.956166
Laboratory,80053,2010,2265,169458.16,74.753393,6.753393
Laboratory,85025,1866,2084,96344.15,46.191860,4.191860
Laboratory,36415,1969,2207,53389.80,24.181712,2.181712
